tax_year,rate_gross_receipts,rate_net_income
1985,3.050,3.70
1986,3.900,4.35
1987,3.900,4.35
1988,3.900,4.35
1989,3.250,6.50
1990,3.250,6.50
1991,3.250,6.50
1992,3.250,6.50
1993,3.250,6.50
1994,3.250,6.50
1995,3.250,6.50
1996,3.000,6.50
1997,2.950,6.50
1998,2.875,6.50
1999,2.775,6.50
2000,2.650,6.50
2001,2.525,6.50
2002,2.400,6.50
2003,2.300,6.50
2004,2.100,6.50
2005,1.900,6.50
2006,1.665,6.50
2007,1.540,6.50
2008,1.415,6.45
2009,1.415,6.45
2010,1.415,6.45
2011,1.415,6.45
2012,1.415,6.45
2013,1.415,6.45
2014,1.415,6.43
2015,1.415,6.41
2016,1.415,6.39
2017,1.415,6.35
2018,1.415,6.30
2019,1.415,6.25
2020,1.415,6.20
2021,1.415,6.20
2022,1.415,6.20
2023,1.415,6.20
2024,1.415,6.15
2025,1.415,6.10