date,year,month,fiscal_year,total
2013-07-31,2013,7,2014,5981921.8189504845
2013-08-31,2013,8,2014,5809492.199585736
2013-09-30,2013,9,2014,6017166.125335052
2013-10-31,2013,10,2014,6131622.421005741
2013-11-30,2013,11,2014,6354459.550069808
2013-12-31,2013,12,2014,6072028.771690735
2014-01-31,2014,1,2014,5998217.580305716
2014-02-28,2014,2,2014,5727915.898188919
2014-03-31,2014,3,2014,5890025.592781754
2014-04-30,2014,4,2014,6429208.531400913
2014-05-31,2014,5,2014,6779785.9372855425
2014-06-30,2014,6,2014,6441099.506641645
2014-07-31,2014,7,2015,6270486.910382862
2014-08-31,2014,8,2015,6096296.623932798
2014-09-30,2014,9,2015,6410683.011044023
2014-10-31,2014,10,2015,6341634.742799849
2014-11-30,2014,11,2015,6694336.682846464
2014-12-31,2014,12,2015,6305019.078355042
2015-01-31,2015,1,2015,6281464.5967586795
2015-02-28,2015,2,2015,5966382.201084999
2015-03-31,2015,3,2015,6081971.6458562985
2015-04-30,2015,4,2015,6853584.722420666
2015-05-31,2015,5,2015,7230848.0881112795
2015-06-30,2015,6,2015,6454469.17389367
2015-07-31,2015,7,2016,7384355.687953263
2015-08-31,2015,8,2016,7185603.107014584
2015-09-30,2015,9,2016,7665053.683103317
2015-10-31,2015,10,2016,7361978.0471403
2015-11-30,2015,11,2016,7917698.38624383
2015-12-31,2015,12,2016,7350133.91053961
2016-01-31,2016,1,2016,7386275.151363296
2016-02-29,2016,2,2016,7080289.212966912
2016-03-31,2016,3,2016,7410230.431034177
2016-04-30,2016,4,2016,7575492.000402613
2016-05-31,2016,5,2016,7949109.598603966
2016-06-30,2016,6,2016,8532227.462724058
2016-07-31,2016,7,2017,7651828.550753294
2016-08-31,2016,8,2017,7404959.221686106
2016-09-30,2016,9,2017,7531060.852970816
2016-10-31,2016,10,2017,7888729.33263268
2016-11-30,2016,11,2017,8010302.4202788165
2016-12-31,2016,12,2017,7748067.6306500565
2017-01-31,2017,1,2017,7573444.034179519
2017-02-28,2017,2,2017,7256412.524700496
2017-03-31,2017,3,2017,7512748.415758823
2017-04-30,2017,4,2017,7923281.133030709
2017-05-31,2017,5,2017,8324075.88241753
2017-06-30,2017,6,2017,8393196.857519537
2017-07-31,2017,7,2018,7824957.996959491
2017-08-31,2017,8,2018,7583046.69439086
2017-09-30,2017,9,2018,7837853.0803999435
2017-10-31,2017,10,2018,7969964.191308933
2017-11-30,2017,11,2018,8242714.427573882
2017-12-31,2017,12,2018,7859802.008890246
2018-01-31,2018,1,2018,7748042.680446669
2018-02-28,2018,2,2018,7385003.34273255
2018-03-31,2018,3,2018,7578425.583178391
2018-04-30,2018,4,2018,8255827.689269365
2018-05-31,2018,5,2018,8688336.910739167
2018-06-30,2018,6,2018,8240250.068156473
2018-07-31,2018,7,2019,8007944.699636611
2018-08-31,2018,8,2019,7771989.001853384
2018-09-30,2018,9,2019,8159154.312982347
2018-10-31,2018,10,2019,8057436.791204289
2018-11-30,2018,11,2019,8491549.932224058
2018-12-31,2018,12,2019,7984171.553351186
2019-01-31,2019,1,2019,7940952.90089086
2019-02-28,2019,2,2019,7531221.594720014
2019-03-31,2019,3,2019,7664342.5713057695
2019-04-30,2019,4,2019,8622867.681602608
2019-05-31,2019,5,2019,9082541.215177143
2019-06-30,2019,6,2019,8094495.877462595
2019-07-31,2019,7,2020,8326088.456690308
2019-08-31,2019,8,2020,8088867.35474801
2019-09-30,2019,9,2020,8615137.543841528
2019-10-31,2019,10,2020,8261241.400036561
2019-11-30,2019,11,2020,8871144.807291074
2019-12-31,2019,12,2020,8222188.73769646
2020-01-31,2020,1,2020,8249601.077609587
2020-02-29,2020,2,2020,7896257.983197022
2020-03-31,2020,3,2020,8251341.9574803645
2020-04-30,2020,4,2020,8422705.997364916
2020-05-31,2020,5,2020,8824541.615940023
2020-06-30,2020,6,2020,9457883.068104155
2020-07-31,2020,7,2021,8558733.31412037
2020-08-31,2020,8,2021,8283483.166901962
2020-09-30,2020,9,2021,8425406.960719697
2020-10-31,2020,10,2021,8826526.154417386
2020-11-30,2020,11,2021,8963507.272882085
2020-12-31,2020,12,2021,8671028.849676706
2021-01-31,2021,1,2021,8476540.35784566
2021-02-28,2021,2,2021,8122512.068169059
2021-03-31,2021,3,2021,8410365.915584333
2021-04-30,2021,4,2021,8870887.066377956
2021-05-31,2021,5,2021,9320630.930848384
2021-06-30,2021,6,2021,9399013.942456402
2021-07-31,2021,7,2022,8816207.901381634
2021-08-31,2021,8,2022,8544572.055036455
2021-09-30,2021,9,2022,8832605.009025484
2021-10-31,2021,10,2022,8982421.232440919
2021-11-30,2021,11,2022,9290755.594405985
2021-12-31,2021,12,2022,8860075.377794098
2022-01-31,2022,1,2022,8734981.553642033
2022-02-28,2022,2,2022,8326460.899360722
2022-03-31,2022,3,2022,8545285.393849673
2022-04-30,2022,4,2022,9309892.789576221
2022-05-31,2022,5,2022,9798470.101099253
2022-06-30,2022,6,2022,9291572.809187526
2022-07-31,2022,7,2023,9080522.564376708
2022-08-31,2022,8,2023,8811399.17592194
2022-09-30,2022,9,2023,9248760.643288251
2022-10-31,2022,10,2023,9131850.887392351
2022-11-30,2022,11,2023,9622199.523739222
2022-12-31,2022,12,2023,9045665.963277753
2023-01-31,2023,1,2023,8995118.699110892
2023-02-28,2023,2,2023,8529644.76906871
2023-03-31,2023,3,2023,8678897.877353543
2023-04-30,2023,4,2023,9762662.32286611
2023-05-31,2023,5,2023,10281314.566085085
2023-06-30,2023,6,2023,9161329.474461542
2023-07-31,2023,7,2024,9328888.447170107
2023-08-31,2023,8,2024,9061543.239995785
2023-09-30,2023,9,2024,9649502.2934431
2023-10-31,2023,10,2024,9251542.345677985
2023-11-30,2023,11,2024,9932927.747273067
2023-12-31,2023,12,2024,9204744.314953173
2024-01-31,2024,1,2024,9233879.283579616
2024-02-29,2024,2,2024,8836992.618794184
2024-03-31,2024,3,2024,9232838.471432744
2024-04-30,2024,4,2024,9423069.199312173
2024-05-31,2024,5,2024,9870994.677286409
2024-06-30,2024,6,2024,10577750.138798544
2024-07-31,2024,7,2025,9622740.310130905
2024-08-31,2024,8,2025,9311745.204848405
2024-09-30,2024,9,2025,9469789.90908597
2024-10-31,2024,10,2025,9919016.391292341
2024-11-30,2024,11,2025,10071372.01645915
2024-12-31,2024,12,2025,9741170.550729405
2025-01-31,2025,1,2025,9521146.820251713
2025-02-28,2025,2,2025,9122168.510720594
2025-03-31,2025,3,2025,9443939.978954796
2025-04-30,2025,4,2025,9959521.201163776
2025-05-31,2025,5,2025,10462797.59554188
2025-06-30,2025,6,2025,10549171.94831383
